"House Price Index by region; existing own homes; 2010 = 100"
"Subjects_1";"Subjects_2";"Regions";"Periods";"1995 1st quarter";"1995 2nd quarter";"1995 3rd quarter";"1995 4th quarter";"1996 1st quarter";"1996 2nd quarter";"1996 3rd quarter";"1996 4th quarter";"1997 1st quarter";"1997 2nd quarter";"1997 3rd quarter";"1997 4th quarter";"1998 1st quarter";"1998 2nd quarter";"1998 3rd quarter";"1998 4th quarter";"1999 1st quarter";"1999 2nd quarter";"1999 3rd quarter";"1999 4th quarter";"2000 1st quarter";"2000 2nd quarter";"2000 3rd quarter";"2000 4th quarter";"2001 1st quarter";"2001 2nd quarter";"2001 3rd quarter";"2001 4th quarter";"2002 1st quarter";"2002 2nd quarter";"2002 3rd quarter";"2002 4th quarter";"2003 1st quarter";"2003 2nd quarter";"2003 3rd quarter";"2003 4th quarter";"2004 1st quarter";"2004 2nd quarter";"2004 3rd quarter";"2004 4th quarter";"2005 1st quarter";"2005 2nd quarter";"2005 3rd quarter";"2005 4th quarter";"2006 1st quarter";"2006 2nd quarter";"2006 3rd quarter";"2006 4th quarter";"2007 1st quarter";"2007 2nd quarter";"2007 3rd quarter";"2007 4th quarter";"2008 1st quarter";"2008 2nd quarter";"2008 3rd quarter";"2008 4th quarter";"2009 1st quarter";"2009 2nd quarter";"2009 3rd quarter";"2009 4th quarter";"2010 1st quarter";"2010 2nd quarter";"2010 3rd quarter";"2010 4th quarter";"2011 1st quarter";"2011 2nd quarter";"2011 3rd quarter";"2011 4th quarter";"2012 1st quarter";"2012 2nd quarter";"2012 3rd quarter";"2012 4th quarter";"2013 1st quarter";"2013 2nd quarter";"2013 3rd quarter";"2013 4th quarter";"2014 1st quarter";"2014 2nd quarter";"2014 3rd quarter";"2014 4th quarter";"2015 1st quarter";"2015 2nd quarter";"2015 3rd quarter";"2015 4th quarter";"2016 1st quarter";"2016 2nd quarter";"2016 3rd quarter"
"Price index purchase prices";"Price index of existing own homes";"Nederland";"2010 = 100";"36.6";"37.1";"38.1";"38.6";"39.7";"41.0";"42.5";"43.4";"44.8";"46.0";"47.3";"48.3";"49.5";"50.8";"52.5";"54.0";"56.1";"58.5";"61.6";"64.3";"67.2";"69.8";"72.8";"74.5";"76.3";"78.3";"80.3";"81.0";"82.5";"83.6";"85.1";"85.0";"85.7";"86.7";"87.4";"88.4";"89.4";"90.3";"91.7";"91.9";"92.8";"93.9";"95.1";"95.6";"97.1";"98.2";"99.5";"99.9";"101.0";"102.3";"103.8";"104.2";"105.4";"105.5";"106.7";"105.9";"105.2";"102.5";"101.1";"100.3";"100.1";"100.3";"100.4";"99.2";"98.7";"98.3";"97.5";"95.8";"94.6";"92.8";"89.1";"88.5";"86.5";"84.7";"85.1";"84.8";"85.2";"85.8";"86.6";"86.6";"87.3";"87.9";"89.1";"89.7";"90.8";"91.8";"94.1"
"Price index purchase prices";"Price index of existing own homes";"Noord-Nederland (LD)";"2010 = 100";"35.9";"36.3";"37.2";"38.0";"38.9";"40.5";"41.7";"42.5";"42.9";"44.3";"45.3";"45.9";"47.1";"47.9";"49.4";"50.7";"51.8";"54.0";"56.8";"59.0";"61.3";"64.5";"67.6";"69.0";"71.2";"73.5";"75.8";"76.7";"77.9";"79.3";"81.1";"81.0";"83.0";"84.4";"84.7";"85.7";"87.2";"88.3";"90.3";"90.7";"91.9";"93.4";"95.3";"95.8";"97.4";"98.9";"99.9";"100.6";"101.8";"102.7";"103.6";"103.7";"105.1";"104.8";"105.6";"105.3";"103.6";"101.1";"100.6";"99.8";"100.4";"100.1";"100.6";"98.9";"98.0";"97.1";"96.2";"94.8";"93.6";"91.9";"89.0";"87.7";"86.1";"83.9";"83.9";"84.1";"83.6";"83.9";"84.1";"83.8";"85.0";"85.3";"85.9";"86.3";"86.8";"87.3";"90.0"
"Price index purchase prices";"Price index of existing own homes";"Oost-Nederland (LD)";"2010 = 100";"37.2";"37.6";"38.8";"39.3";"40.2";"42.0";"43.3";"44.4";"45.4";"46.8";"48.0";"49.2";"50.3";"51.7";"53.3";"55.2";"57.5";"59.7";"63.1";"66.1";"69.4";"72.3";"74.9";"76.7";"79.0";"81.0";"82.5";"83.4";"84.8";"86.3";"87.9";"87.7";"88.4";"89.0";"89.9";"91.3";"92.4";"93.1";"94.0";"94.5";"94.9";"96.1";"97.0";"98.0";"99.6";"100.3";"101.5";"101.4";"102.5";"103.8";"104.7";"104.8";"105.5";"105.8";"106.5";"105.8";"104.8";"102.7";"100.6";"100.5";"99.6";"100.4";"100.7";"99.2";"98.4";"97.5";"96.6";"95.1";"94.3";"92.5";"88.5";"88.3";"86.4";"84.2";"84.9";"84.1";"84.7";"84.9";"85.2";"85.2";"85.7";"85.8";"86.7";"87.1";"88.2";"88.5";"90.4"
"Price index purchase prices";"Price index of existing own homes";"West-Nederland (LD)";"2010 = 100";"35.8";"36.3";"37.2";"37.6";"38.6";"39.9";"41.3";"42.0";"43.5";"44.8";"46.1";"47.0";"48.1";"49.6";"51.4";"52.6";"54.9";"57.5";"60.6";"63.4";"66.0";"68.6";"71.7";"73.4";"75.0";"77.1";"79.0";"79.7";"81.1";"82.2";"83.4";"83.1";"83.9";"84.8";"85.7";"86.4";"87.3";"88.3";"89.7";"89.9";"91.1";"92.1";"93.2";"93.6";"95.2";"96.3";"97.8";"98.4";"99.5";"101.0";"103.0";"103.8";"104.9";"105.5";"107.0";"106.1";"105.6";"102.5";"101.4";"100.5";"100.1";"100.2";"100.3";"99.4";"99.3";"99.0";"98.5";"96.5";"95.5";"93.5";"89.9";"89.2";"87.2";"85.6";"86.0";"85.8";"86.5";"87.2";"88.3";"88.6";"89.3";"90.3";"91.7";"92.6";"94.0";"95.4";"98.2"
"Price index purchase prices";"Price index of existing own homes";"Zuid-Nederland (LD)";"2010 = 100";"38.2";"38.6";"39.8";"40.4";"42.0";"42.9";"44.6";"45.8";"47.7";"48.5";"50.0";"51.3";"52.8";"53.6";"55.3";"57.0";"58.9";"61.4";"64.3";"66.6";"70.2";"72.3";"75.4";"76.9";"78.5";"80.3";"83.0";"83.5";"85.1";"86.0";"87.6";"88.1";"88.3";"89.6";"90.1";"91.0";"92.0";"93.0";"94.2";"94.5";"94.8";"96.1";"97.3";"97.8";"98.7";"100.4";"101.1";"101.6";"102.8";"103.5";"104.8";"104.7";"106.7";"105.8";"106.9";"106.0";"105.5";"102.9";"101.3";"100.0";"100.6";"100.4";"100.1";"98.9";"98.0";"98.0";"96.9";"95.4";"93.6";"92.1";"88.3";"87.7";"85.4";"83.8";"83.9";"83.6";"83.9";"84.5";"85.3";"85.1";"85.5";"86.1";"87.2";"87.3";"88.5";"89.1";"90.7"
"Price index purchase prices";"Price index of existing own homes";"Groningen (PV)";"2010 = 100";"37.4";"37.5";"38.5";"38.9";"40.0";"41.2";"42.1";"43.0";"43.7";"44.4";"45.7";"46.2";"47.0";"47.4";"48.8";"50.2";"50.5";"52.7";"54.8";"56.5";"58.3";"60.9";"64.1";"65.9";"67.6";"69.8";"73.7";"74.4";"76.4";"77.9";"79.9";"79.7";"81.7";"82.8";"84.4";"84.5";"86.1";"86.9";"89.5";"89.3";"91.9";"93.6";"95.7";"96.9";"98.0";"100.1";"101.0";"101.3";"102.7";"102.4";"104.2";"104.2";"105.2";"104.9";"106.0";"105.8";"102.6";"100.8";"101.5";"100.0";"100.2";"99.5";"101.1";"99.2";"99.5";"97.2";"95.8";"94.9";"93.3";"92.2";"89.0";"88.3";"87.9";"85.5";"85.5";"84.4";"84.3";"85.4";"85.4";"85.5";"86.6";"87.6";"87.7";"88.0";"88.9";"89.7";"93.7"
"Price index purchase prices";"Price index of existing own homes";"Friesland (PV)";"2010 = 100";"33.6";"34.5";"35.1";"36.4";"37.3";"39.5";"40.6";"41.4";"41.3";"43.5";"44.0";"44.9";"46.4";"47.4";"48.7";"49.7";"51.1";"53.2";"56.2";"58.1";"60.6";"64.1";"67.4";"68.0";"70.9";"72.8";"74.9";"76.1";"77.0";"78.1";"80.0";"79.7";"82.7";"84.3";"83.5";"85.9";"87.0";"88.6";"90.6";"91.3";"91.6";"93.2";"95.0";"95.2";"97.4";"98.6";"99.6";"100.6";"101.3";"102.8";"103.2";"103.0";"105.4";"104.7";"105.2";"105.2";"102.8";"100.3";"99.8";"99.4";"100.6";"100.2";"100.4";"98.8";"96.9";"96.3";"96.1";"93.5";"92.1";"91.7";"87.9";"86.4";"84.9";"81.7";"82.6";"83.1";"82.0";"82.4";"81.9";"82.0";"83.0";"83.3";"83.9";"84.7";"85.5";"85.4";"88.3"
"Price index purchase prices";"Price index of existing own homes";"Drenthe (PV)";"2010 = 100";"37.1";"37.4";"38.5";"39.2";"39.9";"41.1";"42.7";"43.3";"44.0";"45.1";"46.6";"47.1";"48.0";"49.1";"50.7";"52.3";"54.1";"56.3";"59.6";"62.8";"65.0";"68.5";"71.4";"73.2";"75.3";"78.0";"78.9";"79.6";"80.7";"82.2";"83.6";"83.9";"84.8";"86.0";"86.5";"86.6";"88.7";"89.2";"90.9";"91.2";"92.2";"93.6";"95.3";"95.6";"97.0";"98.3";"99.4";"99.9";"101.8";"102.8";"103.5";"104.2";"104.7";"104.8";"105.7";"104.9";"105.3";"102.2";"100.8";"100.2";"100.2";"100.7";"100.5";"98.6";"98.1";"97.9";"96.9";"96.3";"95.9";"91.9";"90.3";"88.9";"85.9";"85.0";"84.0";"85.0";"85.0";"84.4";"85.5";"84.3";"85.9";"85.4";"86.5";"86.6";"86.2";"87.3";"88.8"
"Price index purchase prices";"Price index of existing own homes";"Overijssel (PV)";"2010 = 100";"37.7";"37.3";"38.4";"39.3";"40.1";"42.2";"43.3";"44.6";"45.6";"47.1";"47.4";"49.0";"49.5";"50.7";"52.4";"54.7";"56.4";"58.8";"61.9";"63.7";"68.0";"70.9";"73.7";"75.7";"77.6";"80.0";"83.1";"82.5";"84.5";"85.2";"87.8";"87.0";"87.7";"88.7";"89.4";"91.2";"91.8";"93.0";"93.8";"94.3";"94.4";"96.1";"97.2";"98.4";"99.6";"100.8";"101.2";"101.5";"102.2";"103.0";"103.6";"103.1";"105.2";"104.8";"105.8";"104.3";"104.6";"101.9";"101.0";"100.4";"99.7";"100.5";"100.3";"99.4";"97.6";"97.9";"97.5";"95.4";"95.6";"93.6";"89.5";"89.8";"87.7";"85.2";"86.4";"85.7";"86.8";"86.7";"87.0";"86.6";"87.0";"87.3";"87.6";"88.2";"89.9";"90.1";"91.5"
"Price index purchase prices";"Price index of existing own homes";"Flevoland (PV)";"2010 = 100";"44.2";"44.2";"45.4";"46.0";"45.9";"48.0";"50.0";"50.6";"51.0";"51.7";"52.9";"54.3";"54.8";"55.5";"57.4";"58.5";"62.7";"65.5";"68.9";"72.5";"75.6";"78.7";"81.8";"82.9";"86.0";"87.4";"88.0";"89.0";"91.3";"92.7";"94.7";"95.3";"95.5";"96.9";"97.0";"97.4";"97.6";"97.6";"98.5";"99.6";"99.5";"100.4";"101.6";"101.7";"102.7";"102.8";"103.6";"103.9";"105.3";"105.3";"105.7";"106.4";"104.6";"106.2";"106.8";"106.6";"104.8";"103.5";"101.8";"100.9";"100.3";"100.6";"101.4";"97.8";"98.1";"97.8";"96.1";"97.2";"94.9";"93.0";"90.6";"90.1";"88.7";"86.9";"87.2";"87.2";"87.7";"87.9";"87.9";"89.6";"88.1";"89.0";"90.2";"90.7";"91.6";"92.2";"94.8"
