,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,"Perioden,CPI,CPI afgeleid,Jaarmutatie CPI,Jaarmutatie CPI afgeleid",22,23,24,25,26,27,28,29,30,31,32,33
Regions,Nederland,Noord-Nederland (LD),Oost-Nederland (LD),West-Nederland (LD),Zuid-Nederland (LD),Groningen (PV),Friesland (PV),Drenthe (PV),Overijssel (PV),Flevoland (PV),Gelderland (PV),Utrecht (PV),Noord-Holland (PV),Zuid-Holland (PV),Zeeland (PV),Noord-Brabant (PV),Limburg (PV),Amsterdam,'s-Gravenhage (The Hague) (municipality),Rotterdam,Utrecht (municipality),,,,,,,,,,,,,,
1995 1st quarter,36.6,35.9,37.2,35.8,38.2,37.4,33.6,37.1,37.7,44.2,36.2,34.7,33.9,37.9,35.5,35.3,46.3,29.6,35.8,36.2,32.1,,,,,,,,,,,,,,
1995 2nd quarter,37.1,36.3,37.6,36.3,38.6,37.5,34.5,37.4,37.3,44.2,36.9,34.8,34.2,38.6,35.9,35.5,47.1,29.5,36.1,37.3,32.9,,,,,,,,,,,,,,
1995 3rd quarter,38.1,37.2,38.8,37.2,39.8,38.5,35.1,38.5,38.4,45.4,38.1,35.9,35.2,39.4,36.8,36.9,48.0,30.3,36.9,37.6,33.4,,,,,,,,,,,,,,
1995 4th quarter,38.6,38.0,39.3,37.6,40.4,38.9,36.4,39.2,39.3,46.0,38.6,36.8,35.6,39.5,37.8,37.2,49.1,30.7,36.9,37.5,34.1,,,,,,,,,,,,,,
1996 1st quarter,39.7,38.9,40.2,38.6,42.0,40.0,37.3,39.9,40.1,45.9,39.6,37.0,36.6,40.8,38.6,38.8,50.7,31.1,37.7,39.5,34.4,,,,,,,,,,,,,,
1996 2nd quarter,41.0,40.5,42.0,39.9,42.9,41.2,39.5,41.1,42.2,48.0,41.2,38.8,37.8,42.1,39.5,39.8,51.5,31.9,38.5,40.4,36.3,,,,,,,,,,,,,,
1996 3rd quarter,42.5,41.7,43.3,41.3,44.6,42.1,40.6,42.7,43.3,50.0,42.5,40.3,39.3,43.3,40.9,41.5,53.4,33.1,39.9,41.8,37.4,,,,,,,,,,,,,,
1996 4th quarter,43.4,42.5,44.4,42.0,45.8,43.0,41.4,43.3,44.6,50.6,43.6,41.2,39.9,44.2,41.5,42.6,54.7,33.9,40.3,42.6,38.3,,,,,,,,,,,,,,
1997 1st quarter,44.8,42.9,45.4,43.5,47.7,43.7,41.3,44.0,45.6,51.0,44.6,42.6,41.6,45.6,42.3,44.4,56.9,35.4,41.1,43.8,39.3,,,,,,,,,,,,,,
1997 2nd quarter,46.0,44.3,46.8,44.8,48.5,44.4,43.5,45.1,47.1,51.7,46.1,44.0,42.9,46.8,43.3,45.2,57.8,36.5,42.8,45.2,41.5,,,,,,,,,,,,,,
