"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
""
"Onderwerp";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs";"Gemiddelde verkoopprijs"
"Perioden";"1995";"2000";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Regio's";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro";"euro"
"Groningen (PV)";"67913";"111768";"168081";"177983";"186935";"188062";"181358";"177940";"180603";"172575";"163505";"165832";"171679";"180595"
"Friesland (PV)";"67992";"125834";"178770";"190517";"197251";"203889";"193069";"195349";"191714";"180784";"169899";"174240";"180461";"187950"
"Drenthe (PV)";"84984";"147524";"192449";"205685";"215473";"214763";"199306";"205264";"203389";"193844";"181850";"185239";"194566";"205504"
"Overijssel (PV)";"83597";"152617";"198475";"206909";"215724";"219612";"212375";"211088";"208185";"202549";"189733";"197070";"198713";"210683"
"Flevoland (PV)";"91262";"155987";"196149";"206641";"212973";"219260";"205904";"206530";"199148";"189322";"178294";"188445";"194188";"204317"
"Gelderland (PV)";"101759";"190676";"236534";"248968";"261513";"264983";"247406";"245990";"245088";"233365";"215875";"221921";"227324";"237769"
"Utrecht (PV)";"109909";"210598";"257807";"272931";"290511";"301065";"280228";"283922";"282944";"267112";"249506";"256282";"264382";"282981"
"Noord-Holland (PV)";"101308";"203428";"247406";"263306";"285839";"295730";"273913";"275914";"279072";"258872";"243147";"257128";"273911";"301899"
"Zuid-Holland (PV)";"90469";"159392";"213568";"225806";"235504";"242050";"227133";"230543";"232987";"219399";"211626";"217573";"221441";"232144"
"Zeeland (PV)";"75095";"118726";"189534";"199519";"203238";"206965";"196518";"197788";"197952";"188728";"183907";"186748";"193489";"202262"
"Noord-Brabant (PV)";"100121";"185790";"244063";"258691";"271394";"277906";"258962";"254941";"252551";"240127";"221039";"228412";"235669";"248763"
"Limburg (PV)";"94311";"157384";"191026";"201145";"206883";"208894";"197055";"195206";"198167";"189845";"179427";"186408";"191829";"199165"
"Amsterdam";"98008";"224938";"238189";"257215";"285587";"305206";"280670";"281206";"284668";"270507";"256308";"272438";"303925";"358976"
"Arnhem";"80240";"149386";"188779";"196732";"203549";"219351";"200876";"204498";"212747";"205702";"189517";"190551";"199528";"205816"
"Assen";"75013";"120177";"168939";"180645";"184287";"186792";"184050";"186206";"182993";"182530";"172090";"175497";"183838";"190911"
"Eindhoven";"87095";"178190";"211986";"218448";"229410";"240779";"222666";"218423";"215421";"208218";"195444";"206208";"212919";"227320"
"'s-Gravenhage (gemeente)";"74053";"135368";"195514";"210009";"222556";"228682";"213057";"227616";"227392";"210847";"216214";"223820";"231302";"244849"
"Groningen (gemeente)";"62635";"99943";"164280";"176792";"185270";"182934";"184709";"180217";"182373";"173646";"165860";"170483";"177441";"186685"
"Haarlem";"83039";"163672";"227984";"243584";"261016";"270670";"266916";"267413";"265863";"252145";"234272";"245391";"268197";"290367"
"'s-Hertogenbosch";"100092";"191688";"246806";"270982";"273812";"277835";"262102";"261128";"265653";"247091";"221045";"232591";"253262";"266306"
"Leeuwarden";"56599";"95702";"143596";"152814";"163429";"163906";"163917";"162912";"164585";"154669";"143835";"154238";"157690";"164437"
"Lelystad";"80373";"131274";"174333";"188626";"193464";"196381";"184520";"193575";"175362";"165632";"161270";"171740";"179997";"187695"
"Maastricht";"96899";"162594";"210951";"223176";"230137";"231883";"227686";"222775";"222066";"214174";"206639";"211753";"221578";"223194"
"Middelburg (Z.)";"88136";"123880";"214129";"213418";"224097";"223481";"215184";"206310";"205714";"202625";"205495";"198061";"193782";"213342"
"Tilburg";"78212";"154308";"207675";"220140";"227717";"226023";"219425";"216804";"215642";"210354";"190282";"198216";"204190";"208106"
"Utrecht (gemeente)";"85568";"165717";"219305";"230815";"248002";"267507";"252284";"252064";"255878";"246061";"231691";"238446";"245900";"267618"
"Valkenswaard";"96969";"220516";"266613";"277607";"299332";"301943";"296150";"270439";"258686";"257876";"239522";"240617";"263716";"252314"
"Zwolle";"84813";"155551";"206170";"209386";"214650";"229305";"215519";"223622";"220887";"215084";"213228";"216558";"218349";"228479"
"Bron: CBS"
